date,ue
2001.3005,0.084091
2001.3032,0.08647
2001.306,0.087425
2001.4209,0.080423
2001.4237,0.081143
2001.4264,0.078596
2001.4292,0.081939
2001.4319,0.078163
2001.4346,0.083638
2001.4374,0.081759
2001.4401,0.08139
2001.4428,0.078261
2001.4456,0.078553
2001.6454,0.074962
2001.6482,0.069741
2001.6509,0.074988
2001.6537,0.073726
2001.6564,0.075147
2001.6591,0.070601
2001.6619,0.07568
2001.6646,0.068924
2001.6674,0.074484
2001.6701,0.074114
2001.6728,0.068849
2001.6756,0.071922
2001.6783,0.078846
2001.681,0.07463
2001.6838,0.069981
2001.6865,0.071494
2001.6893,0.076901
2001.692,0.073498
2001.6947,0.075839
2001.6975,0.072468
2001.7002,0.072344
2001.7029,0.074127
2001.7057,0.075107
2001.7084,0.072406
2001.7112,0.075138
2001.7139,0.072945
2001.7166,0.074713
2001.7194,0.076286
2001.7221,0.070727
2001.7248,0.069721
2001.7276,0.070558
2001.7303,0.071072
2001.7331,0.071292
2001.7358,0.072446
2001.7385,0.075078
2001.7413,0.071202
2001.744,0.074047
2001.7467,0.072059
2001.7495,0.072056
2001.7522,0.071713
2001.755,0.067144
2001.7577,0.071575
2001.7604,0.070343
2001.7632,0.069886
2001.7659,0.074915
2001.7687,0.067241
2001.7714,0.070579
2001.7741,0.071632
2001.7769,0.069185
2001.7796,0.073201
2001.7823,0.074901
2001.7851,0.076071
2001.7878,0.073952
2001.7906,0.074588
2001.7933,0.074698
2001.796,0.069379
2001.7988,0.072065
2001.8015,0.070363
2001.8042,0.063461
2001.807,0.073235
2001.8097,0.068878
2001.8125,0.069145
2001.8152,0.073235
2001.8179,0.067741
2001.8207,0.066498
2001.8234,0.067116
2001.8261,0.071739
2001.8289,0.073939
2001.8316,0.067754
2001.8344,0.06942
2001.8371,0.070319
2001.8398,0.070695
2001.8426,0.069441
2001.8453,0.071044
2001.848,0.068504
2001.8508,0.068891
2001.8535,0.074611
2001.8563,0.069291
2001.859,0.067664
2001.8617,0.063351
2001.8645,0.070448
2001.8672,0.069026
2001.87,0.088946
2001.8727,0.069762
2001.8754,0.067203
2001.8782,0.067377
2001.8809,0.07028
2001.8836,0.065894
2001.8864,0.072427
2001.8891,0.068122
2001.8919,0.068347
2001.8946,0.058275
2001.8973,0.061198
2001.9001,0.068151
2001.9028,0.081379
2001.9055,0.07072
2001.9083,0.090519
2001.911,0.071237
2001.9138,0.068879
2001.9165,0.074614
2001.9192,0.068937
2001.922,0.067881
2001.9247,0.063045
2001.9274,0.081898
2001.9302,0.068136
2001.9329,0.068508
2001.9357,0.066676
2001.9384,0.06767
2001.9411,0.066519
2001.9439,0.070952
2001.9466,0.068739
2001.9493,0.086838
2001.9521,0.072589
2001.9548,0.067197
2001.9576,0.06883
2001.9603,0.067688
2001.963,0.067141
2001.9658,0.069852
2001.9685,0.067012
2001.9713,0.067847
2001.974,0.066464
2001.9767,0.067522
2001.9795,0.068022
2001.9822,0.07104
2001.9849,0.067807
2001.9877,0.066999
2001.9904,0.06851
2001.9932,0.066892
2001.9959,0.065706
2001.9986,0.065733
2002.0014,0.068252
2002.0041,0.068178
2002.0068,0.068181
2002.0096,0.065046
2002.0123,0.06658
2002.0151,0.064467
2002.0178,0.066169
2002.0205,0.070509
2002.0233,0.065387
2002.026,0.065396
2002.0287,0.064855
2002.0315,0.067673
2002.0342,0.063847
2002.037,0.065367
2002.0397,0.066739
2002.0424,0.06437
2002.0452,0.083372
2002.0479,0.063499
2002.0507,0.058339
2002.0534,0.060425
2002.0561,0.061272
2002.0589,0.060156
2002.0616,0.060332
2002.0643,0.061564
2002.0671,0.061768
2002.0698,0.061156
2002.0726,0.065229
2002.078,0.062128
2002.0808,0.060306
2002.0835,0.060241
2002.0862,0.063668
2002.089,0.063375
2002.0917,0.060876
2002.0945,0.058604
2002.0972,0.05811
2002.0999,0.060654
2002.1027,0.059828
2002.1054,0.062211
2002.1081,0.059111
2002.1109,0.065885
2002.1136,0.064564
2002.1328,0.06292
2002.1355,0.059182
2002.1383,0.057657
2002.141,0.062659
2002.1437,0.062274
2002.1465,0.059665
2002.1492,0.06072
2002.152,0.060888
2002.1547,0.063186
2002.1574,0.06599
2002.1602,0.059897
2002.1629,0.06315
2002.1656,0.060087
2002.1684,0.063922
2002.1821,0.065258
2002.1848,0.066011
2002.1875,0.062639
2002.1903,0.061481
2002.193,0.061704
2002.1958,0.057887
2002.1985,0.06163
2002.2012,0.062796
2002.204,0.059984
2002.2067,0.063241
2002.2094,0.058977
2002.2122,0.062942
2002.2149,0.060178
