date,uz
1991.6934,-0.00497095
1991.6988,0.02199764
1992.0164,-0.00127296
1992.0192,0.00747355
1992.0438,-0.0029268
1992.0465,0.00246857
1992.0493,0.00636105
1992.052,0.00671856
1992.0548,0.00565657
1992.0575,-0.00947498
1992.0602,0.0074101
1992.063,-0.00149556
1992.0657,-0.00742904
1992.0821,-0.01239933
1992.0849,-0.01091353
1992.0876,-0.0216231
1992.0931,0.01218444
1992.0958,-0.00054492
1992.0986,-0.01864471
1992.1013,0.00583195
1992.104,-0.02175648
1992.1095,-0.00756418
1992.1123,-0.01096628
1992.115,-0.00432793
1992.1177,0.00562709
1992.1205,-0.01991432
1992.1232,-0.01608355
1992.1478,0.00955713
1992.1506,0.01356863
1992.1561,-0.00184392
1992.1588,-0.01787595
1992.178,-0.01300338
1992.1807,-0.00406316
1992.1834,-0.01295257
1992.1862,-0.03348464
1992.1916,-0.00972936
1992.1944,-0.04337805
1992.1999,-0.02623102
1992.2136,-0.01175852
1992.2218,-0.01425384
1992.2245,-0.02349643
1992.2327,-0.02366129
1992.2355,-0.0154773
1992.2382,-0.01935607
1992.2437,-0.01599
1992.2464,-0.0424927
1992.2519,-0.03216072
1992.2546,-0.00974858
1992.2574,-0.03111063
1992.2601,-0.02248289
1992.2628,-0.03966971
1992.2656,-0.02085673
1992.2683,-0.00206018
1992.2738,-0.01480599
1992.2793,-0.01088686
1992.2847,-0.02165826
1992.2875,0.01502763
1992.2902,0.00699752
1992.293,-0.05959986
1992.2957,0.02025619
1992.2984,-0.02444316
1992.3012,-0.00984592
1992.3039,-0.01936158
1992.3121,-0.01789186
1992.3176,0.00086846
1992.3203,-0.01696738
1992.3285,0.0051887
1992.3313,0.01620635
1992.334,-0.01967478
1992.3368,-0.03240385
1992.3395,-0.02422366
1992.3422,-0.01271171
1992.345,-0.03167592
1992.3477,0.0203848
1992.3504,0.00210239
1992.3614,0.01479337
1992.3641,-0.01694939
1992.3669,-0.00510055
1992.3696,-0.02165206
1992.3751,-0.00051609
1992.3997,0.00666348
1992.4052,-0.01996703
1992.4079,-0.03255056
1992.4107,0.00576264
