date,un
1992.4901,0.0472454
1992.4956,0.04882291
1992.501,0.05841794
1992.5038,0.03752482
1992.5065,0.04088707
1992.5092,0.05057664
1992.512,0.04540736
1992.5147,0.04240226
1992.5175,0.03181893
1992.5202,0.05251293
1992.5229,0.06043429
1992.5257,0.0254414
1992.5311,0.03564958
1992.5339,0.0864824
1992.5366,0.01590815
1992.5394,0.04243392
1992.5421,0.03337417
1992.5476,0.02622283
1992.5503,0.04726502
1992.553,0.05791096
1992.5558,0.08659142
1992.5585,0.06738901
1992.564,0.07015972
1992.5667,0.06901943
1992.5722,0.05446366
1992.5804,0.05720913
1992.5832,0.06084617
1992.5914,0.02424617
1992.5941,0.06677218
1992.6051,0.09604233
1992.6105,0.08893424
1992.616,0.05618167
1992.6297,0.08624759
1992.6352,0.06192292
1992.6379,0.08356686
1992.6407,0.07152943
1992.6434,0.07685778
1992.6461,0.08451594
1992.6516,0.06195958
1992.6543,0.06856669
1992.6598,0.06376372
1992.6653,0.06003187
1992.668,0.06940892
1992.6762,0.0677521
1992.679,0.07154971
1992.6845,0.07084961
1992.6982,0.06059463
1992.7064,0.03467422
1992.7118,0.03925049
1992.7146,0.04936003
1992.7173,0.05358181
1992.7447,0.05222882
1992.7474,0.0526674
1992.7502,0.06580799
1992.7529,0.04811872
1992.7556,0.08687078
1992.7858,0.06771918
1992.7885,0.0639538
1992.7912,0.08442821
1992.794,0.07715987
1992.8049,0.07585736
1992.8077,0.07287361
1992.8104,0.0648621
1992.8131,0.06616254
1992.8214,0.07525244
1992.8241,0.06639839
1992.8268,0.07013457
1992.8296,0.067287
1992.8323,0.06667508
1992.835,0.05216002
1992.8405,0.04141381
1992.8433,0.03901111
1992.846,0.06187474
1992.8487,0.06330029
1992.8515,0.06411532
1992.8542,0.0506102
1992.8569,0.04869716
1992.8597,0.06506428
1992.8624,0.060444
1992.8652,0.07536631
1992.8679,0.05879847
1992.8706,0.06574323
1992.8734,0.06081902
1992.8761,0.07081884
1992.8789,0.06460724
1992.8816,0.07962979
1992.8843,0.06498596
1992.8871,0.07664164
1992.8898,0.05882127
1992.898,0.05995817
1992.9008,0.0622268
1992.9035,0.07362705
1992.9062,0.06183854
1992.909,0.0560674
1992.9172,0.0583998
1992.9199,0.06647196
1992.9227,0.06135342
1992.9418,0.07577218
1992.9446,0.06361526
1992.9473,0.06402772
1992.95,0.07411125
1992.9528,0.06836187
1992.9555,0.06075049
1992.9582,0.07334899
1992.9719,0.07636939
1992.9747,0.11266692
1992.9774,0.08147005
1992.9802,0.06076484
1992.9829,0.08318008
1992.9856,0.08273507
1992.9884,0.0777176
1992.9911,0.06717729
1992.9938,0.05832824
1992.9966,0.08516722
1992.9993,0.04824812
1993.0021,0.07973048
1993.0048,0.05620163
1993.0075,0.06760791
1993.0103,0.06499134
1993.013,0.08163318
1993.0157,0.05839557
1993.0185,0.06834822
1993.0212,0.07853637
1993.024,0.07220485
1993.0267,0.06314929
1993.0294,0.06282845
1993.0322,0.07179978
1993.0349,0.06455022
1993.0376,0.06383445
1993.0431,0.06698901
1993.0623,0.07714491
1993.065,0.07407515
1993.0678,0.07885567
1993.0705,0.07225239
1993.0732,0.0682845
1993.076,0.07715657
1993.0787,0.06919524
1993.0815,0.07402028
1993.0842,0.0830229
1993.0869,0.06969723
1993.0897,0.07798708
1993.0924,0.06747133
1993.0951,0.07294249
1993.0979,0.07436063
1993.1006,0.07398851
1993.1034,0.08661955
1993.1061,0.07963662
1993.1198,0.06942157
1993.1225,0.07502692
1993.1253,0.07590317
1993.128,0.07286257
1993.1307,0.07628004
1993.1335,0.07767995
1993.1362,0.07651205
1993.1581,0.07549423
1993.1745,0.07016028
1993.1773,0.06441272
1993.18,0.06775582
1993.1828,0.06895351
1993.1855,0.07490514
1993.1882,0.07150623
1993.191,0.07815821
1993.1937,0.07283799
1993.1964,0.07593763
1993.1992,0.07574163
