date,uz
1992.4901,0.00782742
1992.4956,-0.00982992
1992.501,-0.00036423
1992.5038,0.00622555
1992.5065,0.00902159
1992.5092,-0.0249572
1992.512,-0.01945462
1992.5147,-0.01662318
1992.5175,0.02489313
1992.5202,0.00977416
1992.5229,0.02681261
1992.5257,0.03263635
1992.5311,-0.00085113
1992.5339,0.03336803
1992.5366,0.01373883
1992.5394,0.00628902
1992.5421,0.01458713
1992.5476,0.00259356
1992.5503,0.01537405
1992.553,0.01084897
1992.5558,0.01001517
1992.5585,0.00824097
1992.564,-0.00040199
1992.5667,-0.00303159
1992.5722,0.01186932
1992.5804,-0.00311288
1992.5832,0.00670374
1992.5914,0.00317592
1992.5941,0.01443174
1992.6051,0.01382382
1992.6105,0.00827723
1992.616,-0.00365386
1992.6297,0.00788767
1992.6352,-0.00473525
1992.6379,-0.00391913
1992.6407,0.00770267
1992.6434,0.00796209
1992.6461,0.01632015
1992.6516,0.00634116
1992.6543,-0.00637302
1992.6598,0.00967617
1992.6653,0.00455026
1992.668,-0.00011865
1992.6762,0.00252021
1992.679,0.00287228
1992.6845,0.013806
1992.6982,0.00498131
1992.7064,-0.00235206
1992.7118,-0.00018747
1992.7146,0.00347506
1992.7173,-0.03415464
1992.7447,0.00115184
1992.7474,-0.0057844
1992.7502,-0.0058663
1992.7529,-0.00720476
1992.7556,-0.00268439
1992.7858,0.01255001
1992.7885,0.02349563
1992.7912,0.00846071
1992.794,0.00925013
1992.8049,0.01191633
1992.8077,-0.00433342
1992.8104,0.01229529
1992.8131,0.00540504
1992.8214,0.00732369
1992.8241,0.00202364
1992.8268,0.00087621
1992.8296,0.01450995
1992.8323,-0.0027774
1992.835,0.00900927
1992.8405,-0.00561768
1992.8433,-0.00166459
1992.846,0.01220458
1992.8487,0.00845686
1992.8515,0.00807234
1992.8542,0.02033248
1992.8569,0.01181449
1992.8597,0.0141841
1992.8624,0.0321455
1992.8652,0.01299763
1992.8679,0.02012138
1992.8706,-0.00139423
1992.8734,-0.00623516
1992.8761,0.01765409
1992.8789,0.01508506
1992.8816,0.01789319
1992.8843,0.01086698
1992.8871,0.01071786
1992.8898,0.01927876
1992.898,-0.00056994
1992.9008,-0.00140379
1992.9035,-0.0171196
1992.9062,0.00663908
1992.909,-0.01558713
1992.9172,-0.00848847
1992.9199,-0.00122644
1992.9227,0.00035298
1992.9418,0.01955529
1992.9446,0.02598157
1992.9473,0.01183931
1992.95,0.02321407
1992.9528,0.01400771
1992.9555,0.01198732
1992.9582,0.00633773
1992.9719,0.01408594
1992.9747,0.02729777
1992.9774,-0.00446
1992.9802,-0.00634528
1992.9829,-0.00558241
1992.9856,-0.00986783
1992.9884,-0.00873645
1992.9911,0.01781624
1992.9938,-0.00417405
1992.9966,0.00798
1992.9993,-0.00092569
1993.0021,-0.00093266
1993.0048,-0.00403672
1993.0075,0.0139513
1993.0103,-0.01566811
1993.013,0.01158984
1993.0157,0.00831613
1993.0185,0.00952954
1993.0212,0.00788882
1993.024,0.00245865
1993.0267,-0.0124391
1993.0294,0.00548867
1993.0322,0.0077533
1993.0349,-0.00105413
1993.0376,0.00225506
1993.0431,0.00024533
1993.0623,0.00267761
1993.065,0.0018948
1993.0678,-0.00348293
1993.0705,0.00139686
1993.0732,0.01213116
1993.076,0.0072375
1993.0787,0.00513432
1993.0815,0.01007051
1993.0842,0.0101983
1993.0869,0.00267082
1993.0897,0.00875743
1993.0924,0.00857533
1993.0951,0.01160695
1993.0979,0.00965962
1993.1006,-0.00629279
1993.1034,-0.00660114
1993.1061,-0.00645705
1993.1198,0.01111463
1993.1225,-0.00233636
1993.1253,0.00653143
1993.128,0.00390873
1993.1307,0.00841533
1993.1335,0.00207377
1993.1362,0.00973532
1993.1581,-0.005833
1993.1745,-0.00627491
1993.1773,-0.00656608
1993.18,0.00140962
1993.1828,-0.00419685
1993.1855,0.00628113
1993.1882,-0.002761
1993.191,0.00581998
1993.1937,-0.01025739
1993.1964,-0.00735678
1993.1992,-0.00780423
1993.2019,0.00780021
1993.2047,0.00282231
1993.2074,0.01750105
1993.2101,0.01314739
1993.2129,-0.00218472
1993.2156,-0.00265744
1993.2183,-0.00980455
1993.2211,0.00444268
1993.2238,-0.00184553
1993.2266,-0.00434867
1993.2293,0.0007481
1993.232,-0.00073729
1993.2348,0.00479666
1993.2375,-0.0032138
1993.2402,-0.00855625
1993.243,-0.01672662
1993.2457,-0.01168344
1993.2485,-0.02382464
1993.2512,-0.01290375
1993.2539,-0.01373892
1993.2567,-0.00308256
1993.2594,-0.00950082
1993.2621,0.00013433
1993.2649,0.00077628
1993.2676,0.00975683
1993.2704,0.00215472
1993.2731,-0.00150149
1993.2758,0.01933282
1993.2786,0.01429014
1993.2813,0.00987407
1993.2841,0.00870268
1993.2868,0.02074515
1993.2895,0.0121121
1993.2923,0.01446883
1993.295,0.00175183
1993.2977,0.00733658
1993.3005,0.00522706
1993.3032,0.01855237
1993.306,-0.00221067
1993.3087,-0.00236816
1993.3114,0.01026917
1993.3142,0.00498621
1993.3169,-0.00470329
1993.3196,-0.00430103
1993.3224,-0.00217786
1993.3251,0.01883228
1993.3279,-0.00466451
1993.3306,0.01537872
1993.3333,0.01209158
1993.3361,0.00131941
1993.3388,0.01365939
1993.3415,0.01438436
1993.3443,0.01710701
1993.347,0.00046
1993.3498,0.00304038
1993.3525,-0.00604415
1993.3552,-0.00578197
1993.3607,-0.00516338
1993.3634,0.00184785
1993.3662,0.00019059
1993.3689,0.01333838
1993.3717,0.01240231
1993.3744,0.00297252
1993.3771,0.00809308
1993.3799,0.00129295
1993.3826,-0.00139042
1993.3854,0.00199506
1993.3881,0.00731477
1993.3908,-0.01202595
1993.3936,-0.00596023
1993.3963,-0.00673366
1993.399,0.00628761
1993.4018,-0.00065945
1993.4045,-0.00405508
1993.41,-0.01062072
1993.4127,-0.0139249
1993.4155,-0.00911217
1993.4209,-0.00772615
1993.4237,-0.00267578
1993.4264,0.01526197
1993.4292,-0.00783991
1993.4319,-0.00939366
1993.4346,-0.01235914
1993.4374,-0.00066883
1993.4401,0.01627422
1993.4428,0.00723454
1993.4456,0.01608595
1993.4483,0.0044897
1993.4538,-0.00310554
1993.4565,-0.00070124
1993.4593,0.00571017
1993.462,0.00363894
1993.4648,0.0005597
1993.4675,-0.00300397
1993.4702,0.00378062
1993.473,0.0018312
1993.4757,0.00141723
1993.4784,0.01259351
1993.4812,-0.00088227
1993.4839,-0.00151992
1993.4867,0.0024855
1993.4894,0.01495915
1993.4921,0.01497101
1993.4949,0.02049351
1993.4976,0.00934213
1993.5031,0.00454509
1993.5058,0.00081374
1993.5086,-0.0071343
1993.5113,0.01537213
1993.514,0.00760359
1993.5168,0.01066244
1993.5195,0.01178163
1993.525,0.01830641
1993.5277,0.01603175
1993.5305,0.01274908
1993.5332,-0.00201284
1993.5359,-0.00729572
1993.5387,0.00598616
1993.5414,0.01926614
1993.5441,0.00849249
1993.5469,-0.00103717
1993.5524,0.00612679
1993.5551,0.00467178
1993.5578,0.00869683
1993.5606,0.0087169
1993.5633,0.00816592
1993.5661,0.01428557
1993.5688,0.01165408
1993.5715,0.00391716
1993.5743,0.00326585
1993.5797,0.01299652
1993.5825,0.00352077
1993.5852,0.00286701
1993.588,0.00054991
1993.5907,0.01159749
1993.5934,0.0153106
1993.5962,0.01213149
1993.5989,0.00829304
1993.6016,0.01458085
1993.6099,-0.00508617
1993.6126,0.01718222
1993.6153,0.0031946
1993.6181,0.00614383
1993.6208,0.00833333
1993.6235,0.0068718
1993.6263,0.00216343
1993.629,0.00058387
1993.6318,0.01368632
1993.6345,0.00675436
1993.6372,0.00106619
1993.64,0.00841805
1993.6427,0.01428166
1993.6454,0.01671836
1993.6482,0.00784704
1993.6537,0.01374619
1993.6564,0.01432365
1993.6591,0.03230264
1993.6619,0.02366229
1993.6646,0.02261883
1993.6674,0.01650083
1993.6701,0.01958317
1993.6728,0.0125608
1993.6756,0.00710575
1993.6783,0.00692527
1993.681,0.00104253
1993.6838,0.00348554
1993.6865,3.719E-05
1993.6893,-0.00591803
1993.692,0.00121732
1993.6947,-0.00559619
1993.6975,0.00181645
1993.7002,-0.0009358
1993.7029,0.00933074
1993.7057,-0.01157751
1993.7084,0.0052298
1993.7112,0.00598406
1993.7139,-0.01329589
1993.7166,-0.01160526
1993.7194,0.00114595
1993.7221,-0.0145655
1993.7248,0.00344504
1993.7276,0.00967574
1993.7303,0.00370237
1993.7331,0.00177608
1993.7413,0.00843016
1993.744,0.01243593
1993.7467,0.01259749
1993.7495,0.01587015
1993.7522,0.00361975
1993.755,0.01476821
1993.7577,8.41E-05
1993.7604,0.00669934
1993.7632,0.00753251
1993.7659,0.00763536
1993.7687,0.00166325
1993.7714,0.01770285
1993.7741,0.00618764
1993.7769,0.01721508
1993.7823,0.00876556
1993.7851,0.01773823
1993.7878,0.01715999
1993.7933,0.01009648
1993.796,0.00939949
1993.7988,0.01199867
1993.8015,0.0111687
1993.8042,0.00241539
1993.807,0.01472023
1993.8097,-0.00138685
1993.8125,-0.00205645
1993.8152,0.01026468
1993.8179,0.00170031
1993.8207,-0.0015097
1993.8234,0.0081111
1993.8261,0.00574488
1993.8289,0.00552169
1993.8316,0.00540438
1993.8344,0.00036402
1993.8371,0.00544634
1993.8398,0.00312616
1993.8426,0.00606869
1993.8453,0.00571096
1993.848,0.01083164
1993.8508,-0.00806609
1993.8535,0.00256312
1993.8563,-0.00558397
1993.859,0.00738601
1993.8617,0.00399459
1993.8672,-0.00350449
1993.87,0.00445199
1993.8727,-0.00218992
1993.8754,0.01026534
1993.8782,0.01373893
1993.8809,0.00287766
1993.8836,0.00096736
1993.8864,0.00175231
1993.8891,0.00154922
1993.8919,0.00179433
1993.8946,0.00287226
1993.8973,0.00688596
1993.9001,0.00646615
1993.9028,-0.00792116
1993.9055,-0.01193787
1993.9083,-0.00313279
1993.911,0.00264921
1993.9138,0.01106013
1993.9165,0.00064777
1993.9192,0.01096441
1993.922,0.00378166
1993.9247,0.01282466
1993.9274,0.00930177
1993.9302,0.01007155
1993.9329,-0.0107269
1993.9357,-0.01104467
1993.9384,-0.00568276
1993.9411,-0.00687853
1993.9439,0.00309222
1993.9466,-0.00020359
1993.9493,-0.01611727
1993.9521,-0.00839197
1993.9548,-0.0012894
1993.9576,0.01147431
1993.9603,-0.00104187
1993.963,-0.00459295
1993.9658,-0.01001504
1993.9685,-0.00776551
1993.9713,-0.00993359
1993.974,0.00524808
1993.9767,0.00529545
1993.9795,0.00431501
1993.9822,0.00049376
1993.9849,-0.00379722
1993.9877,-0.0025883
1993.9904,-0.00719696
1993.9932,-0.00451566
1993.9959,0.00791225
1993.9986,-0.00091008
1994.0014,-0.01099994
1994.0041,-0.01094575
1994.0068,-0.00474813
1994.0096,-0.00704635
1994.0123,-0.0102341
1994.0151,-0.00606421
1994.0178,-0.01221462
1994.0205,-0.00515929
1994.0233,-0.00955662
1994.026,-0.00917983
1994.0287,-0.01526528
1994.0315,-0.00720492
1994.0342,0.0032499
1994.037,0.00541447
1994.0397,0.0108827
1994.0424,-0.00751169
1994.0452,-0.01664399
1994.0479,-0.00228089
1994.0507,-7.488E-05
1994.0534,-0.00167789
1994.0561,-0.00451282
1994.0589,-0.00395555
1994.0616,-0.0087994
1994.0643,-0.00648347
1994.0671,-0.00156804
1994.0698,6.72E-06
1994.0726,-0.0079466
1994.0753,-0.01050026
1994.078,-0.00580753
1994.0808,-0.00375219
1994.0835,-0.00375112
1994.0862,-0.00627927
1994.089,-0.00843463
1994.0917,0.00626813
1994.0945,-0.00445271
1994.0972,-0.01381411
1994.0999,-0.01164619
1994.1027,-0.01007865
1994.1054,0.01213473
1994.1109,-3.257E-05
1994.1136,-0.01276181
1994.1164,-0.00971728
1994.1191,0.00026704
1994.1218,-0.00853789
1994.1246,-0.0013775
1994.1273,-0.00292002
1994.13,-0.00556273
1994.1328,0.00076692
1994.1355,0.00170517
1994.1383,9.657E-05
1994.141,-0.01156904
1994.1437,-0.01618005
1994.1465,0.00338759
1994.1492,0.0158125
1994.152,0.00815413
1994.1547,-0.00055737
1994.1574,0.01682817
1994.1602,0.00315497
1994.1629,-0.00615971
1994.1656,0.00122787
1994.1684,0.01883583
1994.1711,0.01051494
1994.1739,0.00901532
1994.1766,-0.00723452
1994.1793,-0.00823054
1994.1821,-0.00456846
1994.1848,0.00954758
1994.1875,-0.00425312
1994.1903,-0.00144879
1994.193,-0.00579572
1994.1985,-0.01619764
1994.2012,-0.01836992
1994.204,-0.01283433
1994.2067,-0.01876022
1994.2094,-0.01104379
1994.2122,0.00165159
1994.2149,-0.00641297
1994.2177,-0.00507483
1994.2204,-0.01311209
1994.2231,0.00645502
1994.2259,-0.00037469
1994.2286,-0.00164216
1994.2313,0.00065645
1994.2341,0.00099962
1994.2368,0.00419369
1994.2396,-0.00106852
1994.2423,-0.00963353
1994.245,0.02144715
1994.2478,0.01418201
1994.2505,-0.00596384
1994.2533,-0.02047205
1994.256,-0.00264444
1994.2587,-0.01269173
1994.2615,-0.00587686
1994.2642,-0.0180499
1994.2669,-0.0064936
1994.2697,-0.01450534
1994.2724,-0.00804092
1994.2752,0.0040212
1994.2779,0.00654437
1994.2806,0.00860565
1994.2834,0.01033051
1994.2861,-0.00702382
1994.2888,0.0036676
1994.2916,-0.00331362
1994.2943,-0.01017112
1994.2971,0.00104819
1994.2998,-0.006238
1994.3025,-0.00868017
1994.3053,0.00701932
1994.308,-0.00088266
1994.3107,-0.00539418
1994.3162,0.00289711
1994.319,0.00409134
1994.3217,-0.00374119
1994.3244,0.00643681
1994.3272,0.00116312
1994.3299,0.00365617
1994.3326,0.00051014
1994.3354,-0.01780279
1994.3381,-0.00669148
1994.3409,-0.00914125
1994.3436,-0.00667279
1994.3463,-0.00132703
1994.3491,0.01143083
1994.3518,0.00734428
1994.3546,-0.00329513
1994.3573,0.01003299
1994.36,0.00395617
1994.3628,0.0022879
1994.3655,0.00886794
1994.3682,0.00630682
1994.371,0.00487402
1994.3765,0.00204589
1994.3792,0.00867984
1994.3819,-0.00117961
1994.3847,0.01527251
1994.3874,0.01229259
1994.3901,-0.00285009
1994.3929,0.01790992
1994.3956,0.00093065
1994.3984,0.01256089
1994.4011,0.0080677
1994.4038,0.00660369
1994.4066,0.00582886
1994.4093,0.00324363
1994.412,0.0186922
1994.4148,0.01692682
1994.4175,0.00554314
1994.4203,-0.00224247
1994.423,0.01432966
1994.4257,0.01833477
1994.4285,0.00842062
1994.4312,0.00641349
1994.4339,-0.00814325
1994.4367,0.00684098
1994.4394,6.926E-05
1994.4422,-0.01239179
1994.4449,-0.00483307
1994.4476,-0.00322871
1994.4504,-0.00252336
1994.4531,-0.00572801
1994.4559,0.00262269
1994.4586,0.00334413
1994.4613,-0.0024766
1994.4641,0.00028527
1994.4668,0.00356153
1994.4695,-0.00592409
1994.4723,0.00155021
1994.475,-0.00740446
1994.4778,0.00579915
1994.4805,-0.000282
1994.4832,0.00589434
1994.486,0.00800597
1994.4887,0.00068217
1994.4914,-0.0012015
1994.4942,-0.00015308
1994.4969,0.00764058
1994.4997,0.01095698
1994.5024,0.0064763
1994.5051,0.00375861
1994.5079,0.01317515
1994.5106,0.00821333
1994.5133,0.00196645
1994.5161,-0.00547409
1994.5188,-0.00079679
1994.5216,-0.00657925
1994.5243,-0.01193752
1994.527,-0.00479522
1994.5298,-0.00417181
1994.5325,-0.00813993
1994.5352,0.00404481
1994.538,0.011739
1994.5407,-0.00059211
1994.5435,0.00159246
1994.5462,0.0081588
1994.5489,0.00743956
1994.5517,0.00572426
1994.5544,0.00380362
1994.5572,-0.00899453
1994.5599,-0.01224338
1994.5626,-0.01797459
1994.5654,-0.01705728
1994.5681,-0.01082839
1994.5708,-0.01417811
1994.5736,-0.01453366
1994.5763,-0.01356502
1994.5791,-0.00231405
1994.5818,-0.0024979
1994.5845,-0.00339844
1994.5873,-0.00045297
1994.59,-0.00207081
1994.5927,0.01460769
1994.5955,0.00677631
1994.5982,0.00421262
1994.601,-0.00357935
1994.6037,0.00990749
1994.6064,0.01634796
1994.6092,0.01227261
1994.6119,0.00286181
1994.6146,0.0050932
1994.6174,-0.00318966
1994.6201,-0.00741521
1994.6229,-2.669E-05
1994.6256,0.01419069
1994.6283,0.01205733
1994.6311,0.01532877
1994.6338,0.02012714
1994.6366,0.00528547
1994.6393,0.00420492
1994.642,0.00306859
1994.6448,0.00168317
1994.6475,-0.00228745
1994.6502,0.01054323
1994.653,0.00953689
1994.6557,0.00499004
1994.6585,0.01527609
1994.6612,-0.00379195
1994.6639,-0.00086086
1994.6667,-0.00293522
1994.6694,-0.01471925
1994.6721,-0.01182169
1994.6749,-0.00287105
1994.6776,-0.01562345
1994.6804,0.00195693
1994.6831,0.00116984
1994.6858,-0.0023109
1994.6886,-0.00290088
1994.6913,-0.01156212
1994.694,-1.433E-05
1994.6968,-0.00411526
1994.6995,-0.0048324
1994.7023,-0.0037856
1994.705,0.00014337
1994.7077,-0.00049831
1994.7105,-0.00062366
1994.7132,0.02524852
1994.7159,0.01703573
1994.7187,0.00294624
1994.7242,0.01151765
1994.7269,0.00218407
1994.7296,0.01365088
1994.7324,0.00419539
1994.7351,0.00359924
1994.7379,0.00795059
1994.7406,-0.00388937
1994.7433,-0.00782543
1994.7461,-0.00680566
1994.7488,-0.00157415
1994.7515,-0.00072187
1994.7543,0.00091644
1994.757,-0.00631881
1994.7598,-0.00633945
1994.7625,-0.01745858
1994.7652,-0.01195549
1994.768,-0.00359488
1994.7707,-0.01987112
1994.7734,-0.0098347
1994.7762,-0.00991665
1994.7789,-0.01324323
1994.7817,-0.00661298
1994.7844,-0.01790237
1994.7871,-0.00658249
1994.7899,-0.00431444
1994.7926,-0.01301915
1994.7953,-0.03059973
1994.7981,-0.01531499
1994.8008,-0.01255312
1994.8036,-0.01421551
1994.8063,-0.00843835
1994.809,-0.012837
1994.8118,-0.01143124
1994.8145,-0.00723596
1994.8172,-0.011443
1994.82,-0.00938956
1994.8227,-0.02563557
1994.8255,-0.01289623
1994.8282,-0.00705622
1994.8309,-0.00627654
1994.8337,-0.00016381
1994.8364,0.00789241
1994.8392,-0.00555853
1994.8419,0.00159423
1994.8446,-0.00195168
1994.8474,-0.00395872
1994.8501,-0.00410831
1994.8528,-0.00223845
1994.8556,-0.0082054
1994.8583,-0.00272991
1994.8611,0.00311982
1994.8638,-0.01190717
1994.8665,0.00296
1994.8693,-0.00328181
1994.872,0.01229636
1994.8747,0.00228989
1994.8775,-0.00537453
1994.8802,0.00308019
1994.883,-0.00648639
1994.8857,-0.01150954
1994.8884,-0.02208163
1994.8912,-0.00593905
1994.8939,-0.00367534
1994.8966,0.00541826
1994.8994,-0.00378462
1994.9021,-0.00351056
1994.9049,0.00844296
1994.9076,-0.00207325
1994.9103,0.00019215
1994.9131,-0.00676017
1994.9185,0.00771555
1994.9213,0.00878861
1994.924,0.00662705
1994.9268,-0.00353276
1994.9295,-0.00992703
1994.9322,0.00840351
1994.935,0.00130051
1994.9377,-0.01242529
1994.9405,0.00247872
1994.9432,0.00482192
1994.9459,0.01399939
1994.9487,0.01262212
1994.9514,0.00401652
1994.9541,0.00470113
1994.9569,0.0002601
1994.9596,0.0186497
1994.9624,0.00796381
1994.9651,0.00792881
1994.9678,0.00032251
1994.9706,-0.00458861
1994.9733,0.01304881
1994.976,0.01828456
1994.9788,-0.00303789
1994.9815,0.01372053
1994.9843,0.01738031
1994.987,0.02301161
1994.9897,0.00696013
1994.9925,0.0203098
1994.9952,0.00808588
1994.9979,-0.00141261
1995.0007,-0.00845744
1995.0034,-0.0084859
1995.0062,-0.01746997
1995.0089,-0.0044757
1995.0116,-0.00789187
1995.05,-0.02243481
1995.0527,-0.02881346
1995.0554,-0.01402175
1995.0582,-0.00782739
1995.0609,-0.00548952
1995.0637,-0.00481868
1995.0828,-0.01195619
1995.0856,-0.01206549
1995.0883,-0.00602586
1995.091,-0.01023173
1995.0938,-0.01186633
1995.0965,-0.00845796
1995.0992,-0.00735614
1995.102,-0.01728079
1995.1047,-0.0093375
1995.1075,-0.01551345
1995.1102,-0.01653141
1995.1129,-0.01223776
1995.1157,-0.00706063
1995.1184,-0.01010366
1995.1211,-0.00374318
1995.1239,-0.01568107
1995.1266,-0.01011287
1995.1294,-0.00760457
1995.1321,0.00452014
1995.1348,0.00524756
1995.1376,-0.01852426
1995.1403,-0.00761498
1995.1431,-0.00799931
1995.1458,-0.0153794
1995.1485,-0.01956003
1995.1513,-0.02043766
1995.154,-0.01570618
1995.1567,-0.01312565
1995.1595,-0.01323203
1995.1622,-0.02520809
1995.165,-0.01683192
1995.1677,-0.01130819
1995.1732,-0.0196265
1995.1759,-0.0109775
